index,name
0,Tregs in central comp.
1,Th in central comp.
2,Tcyt in central comp.
3,Treg/Tcyt in central comp.
4,Th/Tcyt in central comp.
6,Th+Tcyt in central comp.
7,T cells in central comp.
9,Th/T cells in central comp.
10,Tcyt/T cells in central comp.
16,Carrying capacity
17,Angiogenic factor
18,Treg
20,mAPC
22,TGFb
24,MDSC
25,NO
26,ArgI
27,CCL2
28,M1 Mac
30,IL12
31,IL10
32,Tcyt
33,Treg/Tcyt
34,Th/Tcyt
35,Treg/Th
38,(Th+Tcyt)/T cells
40,Tcyt/T cells
41,Treg/T cells
42,Mac
48,Immune act. cells
49,Immune supp./act. cells
50,Immune supp. cell fraction
56,Treg fraction
60,mAPC fraction
67,Tcyt diversity
71,Tumor diameter
74,Tregs in LNs
78,Treg/Tcyt in LNs
80,Treg/Th in LNs
86,Treg/T cells in LNs
87,APCs in LNs
88,Tcyt diversity in LNs
89,Tcyt evenness in LNs
